iter	Passed	Remaining
0	132	132701
1	135	67836
2	139	46224
3	142	35432
4	144	28848
5	147	24461
6	150	21382
7	153	18994
8	155	17149
9	158	15698
10	162	14572
11	164	13546
12	167	12681
13	169	11907
14	170	11178
15	172	10583
16	174	10061
17	176	9618
18	178	9224
19	181	8888
20	183	8551
21	185	8237
22	187	7963
23	189	7718
24	192	7493
25	194	7284
26	197	7111
27	199	6926
28	201	6757
29	204	6617
30	207	6489
31	209	6344
32	212	6225
33	215	6110
34	217	5996
35	220	5897
36	223	5805
37	224	5675
38	226	5576
39	229	5497
40	231	5424
41	233	5326
42	235	5237
43	237	5167
44	238	5067
45	240	4989
46	243	4934
47	246	4880
48	248	4831
49	251	4781
50	254	4734
51	256	4670
52	259	4630
53	260	4562
54	262	4504
55	265	4467
56	267	4430
57	270	4400
58	272	4351
59	275	4319
60	278	4289
61	281	4255
62	284	4224
63	286	4185
64	288	4146
65	291	4118
66	293	4090
67	296	4060
68	299	4034
69	301	4006
70	303	3975
71	306	3952
72	309	3928
73	312	3904
74	314	3882
75	316	3852
76	318	3821
77	321	3799
78	324	3778
79	326	3756
80	329	3740
81	332	3722
82	333	3687
83	335	3662
84	338	3643
85	341	3625
86	343	3603
87	346	3586
88	348	3571
89	350	3548
90	353	3531
91	356	3515
92	358	3499
93	361	3480
94	363	3465
95	366	3447
96	367	3425
97	370	3412
98	373	3398
99	376	3384
100	378	3367
101	380	3353
102	382	3333
103	384	3311
104	387	3298
105	389	3286
106	392	3276
107	394	3259
108	396	3244
109	399	3230
110	402	3220
111	404	3209
112	407	3199
113	410	3190
114	412	3176
115	415	3164
116	417	3154
117	420	3145
118	423	3135
119	425	3119
120	427	3108
121	430	3097
122	433	3089
123	435	3079
124	438	3066
125	441	3060
126	442	3042
127	444	3031
128	447	3022
129	449	3011
130	452	3002
131	455	2995
132	458	2991
133	460	2977
134	463	2966
135	465	2957
136	467	2944
137	469	2934
138	472	2926
139	475	2918
140	477	2906
141	479	2899
142	482	2891
143	484	2881
144	487	2872
145	489	2865
146	491	2849
147	493	2839
148	495	2832
149	499	2828
150	502	2822
151	504	2813
152	506	2804
153	508	2792
154	509	2778
155	512	2771
156	514	2762
157	517	2756
158	519	2746
159	521	2737
160	523	2728
161	525	2720
162	529	2718
163	531	2708
164	533	2697
165	535	2691
166	538	2684
167	540	2676
168	542	2669
169	545	2665
170	547	2653
171	549	2647
172	552	2641
173	555	2635
174	557	2627
175	559	2620
176	562	2615
177	565	2609
178	567	2603
179	569	2595
180	572	2588
181	574	2583
182	577	2577
183	580	2572
184	582	2567
185	585	2563
186	588	2559
187	591	2554
188	593	2548
189	596	2541
190	598	2535
191	601	2530
192	603	2525
193	606	2518
194	608	2512
195	611	2508
196	614	2504
197	617	2499
198	619	2492
199	622	2488
200	624	2483
201	626	2476
202	629	2471
203	632	2466
204	635	2462
205	637	2457
206	640	2453
207	643	2448
208	646	2445
209	648	2439
210	651	2434
211	653	2430
212	656	2425
213	658	2419
214	661	2414
215	664	2410
216	665	2402
217	668	2398
218	671	2394
219	674	2390
220	677	2386
221	679	2382
222	682	2378
223	685	2374
224	688	2369
225	691	2367
226	692	2358
227	695	2354
228	698	2350
229	700	2343
230	702	2338
231	705	2334
232	707	2330
233	710	2326
234	712	2320
235	715	2315
236	718	2311
237	720	2307
238	722	2301
239	725	2297
240	728	2294
241	731	2290
242	734	2287
243	737	2284
244	739	2279
245	742	2276
246	745	2272
247	748	2268
248	750	2264
249	753	2260
250	756	2256
251	758	2251
252	760	2245
253	763	2241
254	765	2237
255	768	2233
256	770	2228
257	773	2225
258	775	2219
259	778	2215
260	780	2211
261	783	2207
262	786	2204
263	789	2200
264	791	2195
265	793	2190
266	796	2186
267	799	2183
268	802	2180
269	804	2176
270	806	2170
271	809	2166
272	812	2163
273	815	2159
274	817	2154
275	819	2150
276	822	2146
277	824	2140
278	826	2136
279	829	2131
280	831	2128
281	834	2124
282	837	2121
283	839	2116
284	842	2112
285	844	2108
286	846	2103
287	848	2098
288	850	2093
289	853	2090
290	855	2085
291	858	2081
292	860	2077
293	863	2072
294	864	2066
295	866	2061
296	869	2058
297	871	2053
298	873	2047
299	876	2044
300	878	2039
301	880	2033
302	883	2031
303	885	2027
304	888	2023
305	890	2020
306	893	2015
307	895	2010
308	897	2007
309	900	2004
310	902	1999
311	905	1996
312	907	1991
313	909	1986
314	910	1980
315	912	1975
316	915	1971
317	917	1967
318	920	1964
319	922	1961
320	924	1956
321	926	1951
322	929	1947
323	930	1940
324	932	1937
325	933	1930
326	936	1926
327	938	1923
328	941	1919
329	942	1914
330	945	1910
331	948	1907
332	950	1903
333	952	1899
334	954	1895
335	956	1890
336	958	1885
337	961	1882
338	963	1878
339	965	1874
340	968	1870
341	970	1867
342	972	1862
343	974	1857
344	976	1853
345	979	1850
346	981	1846
347	983	1843
348	986	1839
349	988	1835
350	990	1831
351	992	1827
352	995	1824
353	997	1820
354	1000	1817
355	1003	1814
356	1004	1809
357	1007	1805
358	1009	1802
359	1011	1798
360	1013	1794
361	1016	1792
362	1018	1787
363	1020	1783
364	1023	1780
365	1027	1780
366	1032	1781
367	1035	1778
368	1041	1780
